startin 1
1 2 1381
1 3 928
1 4 543
1 5 1430
1 6 641
1 7 918
1 8 740
1 9 100
1 10 1442
1 11 1343
1 12 929
1 13 1270
1 14 1213
1 15 1309
1 16 1098
2 1 699
2 3 726
2 4 1417
2 5 407
2 6 734
2 7 1377
2 8 1058
2 9 1495
2 10 32
2 11 725
2 12 833
2 13 719
2 14 1523
2 15 1463
2 16 319
3 1 52
3 2 1056
3 4 1325
3 5 1235
3 6 1589
3 7 272
3 8 627
3 9 640
3 10 1153
3 11 498
3 12 231
3 13 1102
3 14 1025
3 15 1267
3 16 547
4 1 1079
4 2 606
4 3 956
4 5 436
4 6 708
4 7 1039
4 8 649
4 9 1345
4 10 586
4 11 1464
4 12 287
4 13 863
4 14 24
4 15 237
4 16 1287
5 1 1403
5 2 580
5 3 71
5 4 1111
5 6 1383
5 7 1160
5 8 85
5 9 1165
5 10 1064
5 11 463
5 12 1375
5 13 939
5 14 865
5 15 45
5 16 1440
6 1 548
6 2 1455
6 3 297
6 4 1151
6 5 778
6 7 1598
6 8 545
6 9 1293
6 10 1210
6 11 393
6 12 875
6 13 520
6 14 1333
6 15 1354
6 16 1018
7 1 1558
7 2 937
7 3 326
7 4 744
7 5 118
7 6 716
7 8 556
7 9 496
7 10 420
7 11 1539
7 12 605
7 13 620
7 14 1157
7 15 128
7 16 1518
8 1 564
8 2 46
8 3 47
8 4 837
8 5 694
8 6 1510
8 7 1550
8 9 430
8 10 179
8 11 1107
8 12 1358
8 13 584
8 14 358
8 15 1376
8 16 1104
9 1 766
9 2 1340
9 3 562
9 4 923
9 5 711
9 6 736
9 7 338
9 8 62
9 10 361
9 11 675
9 12 341
9 13 985
9 14 1412
9 15 481
9 16 1148
10 1 1037
10 2 1049
10 3 417
10 4 36
10 5 260
10 6 510
10 7 938
10 8 915
10 9 724
10 11 348
10 12 96
10 13 696
10 14 1072
10 15 1078
10 16 780
11 1 844
11 2 1297
11 3 1024
11 4 1020
11 5 66
11 6 372
11 7 594
11 8 1114
11 9 132
11 10 732
11 12 916
11 13 511
11 14 762
11 15 1003
11 16 1514
12 1 1129
12 2 767
12 3 773
12 4 686
12 5 1184
12 6 1197
12 7 1034
12 8 444
12 9 1475
12 10 465
12 11 808
12 13 1052
12 14 131
12 15 1063
12 16 76
13 1 273
13 2 1275
13 3 868
13 4 1204
13 5 1023
13 6 1487
13 7 1062
13 8 793
13 9 679
13 10 609
13 11 771
13 12 1145
13 14 749
13 15 877
13 16 998
14 1 1144
14 2 895
14 3 1279
14 4 203
14 5 931
14 6 1556
14 7 1318
14 8 709
14 9 1511
14 10 89
14 11 1473
14 12 544
14 13 1426
14 15 17
14 16 806
15 1 1579
15 2 1416
15 3 224
15 4 191
15 5 993
15 6 1268
15 7 932
15 8 108
15 9 1186
15 10 1239
15 11 279
15 12 245
15 13 710
15 14 114
15 16 1548
16 1 1168
16 2 1208
16 3 363
16 4 380
16 5 1055
16 6 922
16 7 1161
16 8 223
16 9 366
16 10 120
16 11 769
16 12 1177
16 13 1466
16 14 653
16 15 446
m
0 1381 928 543 1430 641 918 740 100 1442 1343 929 1270 1213 1309 1098
699 0 726 1417 407 734 1377 1058 1495 32 725 833 719 1523 1463 319
52 1056 0 1325 1235 1589 272 627 640 1153 498 231 1102 1025 1267 547
1079 606 956 0 436 708 1039 649 1345 586 1464 287 863 24 237 1287
1403 580 71 1111 0 1383 1160 85 1165 1064 463 1375 939 865 45 1440
548 1455 297 1151 778 0 1598 545 1293 1210 393 875 520 1333 1354 1018
1558 937 326 744 118 716 0 556 496 420 1539 605 620 1157 128 1518
564 46 47 837 694 1510 1550 0 430 179 1107 1358 584 358 1376 1104
766 1340 562 923 711 736 338 62 0 361 675 341 985 1412 481 1148
1037 1049 417 36 260 510 938 915 724 0 348 96 696 1072 1078 780
844 1297 1024 1020 66 372 594 1114 132 732 0 916 511 762 1003 1514
1129 767 773 686 1184 1197 1034 444 1475 465 808 0 1052 131 1063 76
273 1275 868 1204 1023 1487 1062 793 679 609 771 1145 0 749 877 998
1144 895 1279 203 931 1556 1318 709 1511 89 1473 544 1426 0 17 806
1579 1416 224 191 993 1268 932 108 1186 1239 279 245 710 114 0 1548
1168 1208 363 380 1055 922 1161 223 366 120 769 1177 1466 653 446 0
E
