startin 1
1 2 530
1 3 1527
1 4 1348
1 5 1407
1 6 15
1 7 1644
1 8 1368
1 9 1261
1 10 1103
1 11 1483
1 12 1442
1 13 249
1 14 731
1 15 170
1 16 600
1 17 392
2 1 1184
2 3 31
2 4 860
2 5 129
2 6 433
2 7 1556
2 8 1613
2 9 1130
2 10 1120
2 11 224
2 12 728
2 13 454
2 14 551
2 15 1290
2 16 1389
2 17 1586
3 1 16
3 2 915
3 4 564
3 5 864
3 6 1443
3 7 1519
3 8 1304
3 9 351
3 10 1382
3 11 1429
3 12 1288
3 13 1240
3 14 1042
3 15 17
3 16 85
3 17 432
4 1 1306
4 2 1219
4 3 1592
4 5 1434
4 6 924
4 7 1398
4 8 737
4 9 1172
4 10 325
4 11 874
4 12 1198
4 13 1466
4 14 715
4 15 1626
4 16 873
4 17 1365
5 1 571
5 2 588
5 3 841
5 4 399
5 6 1155
5 7 1046
5 8 609
5 9 1251
5 10 954
5 11 891
5 12 791
5 13 1593
5 14 1473
5 15 1216
5 16 1663
5 17 1408
6 1 1009
6 2 84
6 3 817
6 4 552
6 5 550
6 7 1342
6 8 341
6 9 1540
6 10 304
6 11 182
6 12 1347
6 13 613
6 14 1122
6 15 852
6 16 890
6 17 689
7 1 409
7 2 1485
7 3 98
7 4 1218
7 5 980
7 6 366
7 8 1127
7 9 1049
7 10 1510
7 11 818
7 12 605
7 13 1059
7 14 260
7 15 1148
7 16 766
7 17 1435
8 1 1121
8 2 908
8 3 1465
8 4 1025
8 5 695
8 6 1220
8 7 449
8 9 1062
8 10 1591
8 11 1620
8 12 373
8 13 422
8 14 1679
8 15 275
8 16 1558
8 17 407
9 1 1606
9 2 1550
9 3 30
9 4 1616
9 5 357
9 6 659
9 7 520
9 8 948
9 10 831
9 11 1236
9 12 1285
9 13 964
9 14 627
9 15 1664
9 16 606
9 17 1661
10 1 1140
10 2 306
10 3 322
10 4 1623
10 5 824
10 6 131
10 7 615
10 8 1421
10 9 1194
10 11 1370
10 12 1503
10 13 289
10 14 807
10 15 64
10 16 534
10 17 1581
11 1 1459
11 2 1199
11 3 653
11 4 1160
11 5 51
11 6 1403
11 7 158
11 8 774
11 9 178
11 10 855
11 12 1649
11 13 149
11 14 986
11 15 1233
11 16 532
11 17 620
12 1 405
12 2 250
12 3 164
12 4 1224
12 5 990
12 6 337
12 7 573
12 8 1058
12 9 1339
12 10 263
12 11 861
12 13 1071
12 14 1507
12 15 524
12 16 828
12 17 783
13 1 65
13 2 375
13 3 1448
13 4 1391
13 5 1346
13 6 1495
13 7 113
13 8 1560
13 9 1079
13 10 1289
13 11 700
13 12 1544
13 14 1479
13 15 367
13 16 410
13 17 558
14 1 780
14 2 931
14 3 1053
14 4 1430
14 5 1415
14 6 1695
14 7 701
14 8 872
14 9 5
14 10 130
14 11 587
14 12 1561
14 13 617
14 15 1125
14 16 959
14 17 100
15 1 354
15 2 1008
15 3 294
15 4 719
15 5 820
15 6 470
15 7 156
15 8 1291
15 9 823
15 10 363
15 11 748
15 12 516
15 13 657
15 14 1183
15 16 655
15 17 447
16 1 148
16 2 575
16 3 201
16 4 812
16 5 953
16 6 747
16 7 506
16 8 1102
16 9 1673
16 10 1191
16 11 400
16 12 801
16 13 1100
16 14 1615
16 15 1648
16 17 922
17 1 1579
17 2 1040
17 3 1037
17 4 48
17 5 838
17 6 70
17 7 1303
17 8 676
17 9 713
17 10 703
17 11 763
17 12 795
17 13 1501
17 14 789
17 15 462
17 16 750
m
0 530 1527 1348 1407 15 1644 1368 1261 1103 1483 1442 249 731 170 600 392
1184 0 31 860 129 433 1556 1613 1130 1120 224 728 454 551 1290 1389 1586
16 915 0 564 864 1443 1519 1304 351 1382 1429 1288 1240 1042 17 85 432
1306 1219 1592 0 1434 924 1398 737 1172 325 874 1198 1466 715 1626 873 1365
571 588 841 399 0 1155 1046 609 1251 954 891 791 1593 1473 1216 1663 1408
1009 84 817 552 550 0 1342 341 1540 304 182 1347 613 1122 852 890 689
409 1485 98 1218 980 366 0 1127 1049 1510 818 605 1059 260 1148 766 1435
1121 908 1465 1025 695 1220 449 0 1062 1591 1620 373 422 1679 275 1558 407
1606 1550 30 1616 357 659 520 948 0 831 1236 1285 964 627 1664 606 1661
1140 306 322 1623 824 131 615 1421 1194 0 1370 1503 289 807 64 534 1581
1459 1199 653 1160 51 1403 158 774 178 855 0 1649 149 986 1233 532 620
405 250 164 1224 990 337 573 1058 1339 263 861 0 1071 1507 524 828 783
65 375 1448 1391 1346 1495 113 1560 1079 1289 700 1544 0 1479 367 410 558
780 931 1053 1430 1415 1695 701 872 5 130 587 1561 617 0 1125 959 100
354 1008 294 719 820 470 156 1291 823 363 748 516 657 1183 0 655 447
148 575 201 812 953 747 506 1102 1673 1191 400 801 1100 1615 1648 0 922
1579 1040 1037 48 838 70 1303 676 713 703 763 795 1501 789 462 750 0
E
